year,month,time,price,wprice,pop
2015,2,11:29:39,76200,,
2015,2,11:29:40,76200,,
2015,2,11:29:41,76200,,
2015,2,11:29:42,76200,,
2015,2,11:29:43,76200,,
2015,2,11:29:44,76200,,
2015,2,11:29:45,76200,,
2015,2,11:29:46,76300,,
2015,2,11:29:47,76300,,
2015,2,11:29:48,76300,,
2015,2,11:29:49,76300,,
2015,2,11:29:50,76300,,
2015,2,11:29:51,76300,,
2015,2,11:29:52,76300,,
2015,2,11:29:53,76300,,
2015,2,11:29:54,76400,,
2015,2,11:29:55,76400,,
2015,2,11:29:56,76400,,
2015,2,11:29:57,76400,,
2015,2,11:29:58,76500,,
2015,2,11:29:59,76500,,
2015,2,11:30:00,76500,,
2015,3,11:25:00,74400,,
2015,3,11:25:01,74400,,
2015,3,11:25:02,74400,,
2015,3,11:25:03,74400,,
2015,3,11:25:04,74400,,
2015,3,11:25:05,74400,,
2015,3,11:25:06,74400,,
2015,3,11:25:07,74400,,
2015,3,11:25:08,74400,,
2015,3,11:25:09,74400,,
2015,3,11:25:10,74400,,
2015,3,11:25:11,74400,,
2015,3,11:25:12,74400,,
2015,3,11:25:13,74400,,
2015,3,11:25:14,74400,,
2015,3,11:25:15,74400,,
2015,3,11:25:16,74400,,
2015,3,11:25:17,74400,,
2015,3,11:25:18,74500,,
2015,3,11:25:19,74500,,
2015,3,11:25:20,74500,,
2015,3,11:25:21,74500,,
2015,3,11:25:22,74500,,
2015,3,11:25:23,74500,,
2015,3,11:25:24,74500,,
2015,3,11:25:25,74500,,
2015,3,11:25:26,74500,,
2015,3,11:25:27,74500,,
2015,3,11:25:28,74500,,
2015,3,11:25:29,74500,,
2015,3,11:25:30,74500,,
2015,3,11:25:31,74500,,
2015,3,11:25:32,74500,,
2015,3,11:25:33,74500,,
2015,3,11:25:34,74500,,
2015,3,11:25:35,74500,,
2015,3,11:25:36,74500,,
2015,3,11:25:37,74500,,
2015,3,11:25:38,74500,,
2015,3,11:25:39,74500,,
2015,3,11:25:40,74500,,
2015,3,11:25:41,74500,,
2015,3,11:25:42,74500,,
2015,3,11:25:43,74500,,
2015,3,11:25:44,74500,,
2015,3,11:25:45,74500,,
2015,3,11:25:46,74500,,
2015,3,11:25:47,74500,,
2015,3,11:25:48,74500,,
2015,3,11:25:49,74500,,
2015,3,11:25:50,74500,,
2015,3,11:25:51,74500,,
2015,3,11:25:52,74500,,
2015,3,11:25:53,74500,,
2015,3,11:25:54,74500,,
2015,3,11:25:55,74500,,
2015,3,11:25:56,74500,,
2015,3,11:25:57,74500,,
2015,3,11:25:58,74500,,
2015,3,11:25:59,74500,,
2015,3,11:26:00,74500,,
2015,3,11:26:01,74500,,
2015,3,11:26:02,74500,,
2015,3,11:26:03,74500,,
2015,3,11:26:04,74500,,
2015,3,11:26:05,74500,,
2015,3,11:26:06,74500,,
2015,3,11:26:07,74500,,
2015,3,11:26:08,74500,,
2015,3,11:26:09,74600,,
2015,3,11:26:10,74600,,
2015,3,11:26:11,74600,,
2015,3,11:26:12,74600,,
2015,3,11:26:13,74600,,
2015,3,11:26:14,74600,,
2015,3,11:26:15,74600,,
2015,3,11:26:16,74600,,
2015,3,11:26:17,74600,,
2015,3,11:26:18,74600,,
2015,3,11:26:19,74600,,
2015,3,11:26:20,74600,,
2015,3,11:26:21,74600,,
2015,3,11:26:22,74600,,
2015,3,11:26:23,74600,,
2015,3,11:26:24,74600,,
2015,3,11:26:25,74600,,
2015,3,11:26:26,74600,,
2015,3,11:26:27,74600,,
2015,3,11:26:28,74600,,
2015,3,11:26:29,74600,,
2015,3,11:26:30,74600,,
2015,3,11:26:31,74600,,
2015,3,11:26:32,74600,,
2015,3,11:26:33,74600,,
2015,3,11:26:34,74600,,
2015,3,11:26:35,74600,,
2015,3,11:26:36,74600,,
2015,3,11:26:37,74600,,
2015,3,11:26:38,74600,,
2015,3,11:26:39,74600,,
2015,3,11:26:40,74600,,
2015,3,11:26:41,74600,,
2015,3,11:26:42,74600,,
2015,3,11:26:43,74600,,
2015,3,11:26:44,74600,,
2015,3,11:26:45,74600,,
2015,3,11:26:46,74600,,
2015,3,11:26:47,74600,,
2015,3,11:26:48,74600,,
2015,3,11:26:49,74600,,
2015,3,11:26:50,74600,,
2015,3,11:26:51,74600,,
2015,3,11:26:52,74600,,
2015,3,11:26:53,74600,,
2015,3,11:26:54,74600,,
2015,3,11:26:55,74600,,
2015,3,11:26:56,74600,,
2015,3,11:26:57,74600,,
2015,3,11:26:58,74600,,
2015,3,11:26:59,74600,,
2015,3,11:27:00,74600,,
2015,3,11:27:01,74600,,
2015,3,11:27:02,74600,,
2015,3,11:27:03,74600,,
2015,3,11:27:04,74600,,
2015,3,11:27:05,74600,,
2015,3,11:27:06,74600,,
2015,3,11:27:07,74600,,
2015,3,11:27:08,74600,,
2015,3,11:27:09,74600,,
2015,3,11:27:10,74600,,
2015,3,11:27:11,74600,,
2015,3,11:27:12,74600,,
2015,3,11:27:13,74600,,
2015,3,11:27:14,74600,,
2015,3,11:27:15,74600,,
2015,3,11:27:16,74600,,
2015,3,11:27:17,74600,,
2015,3,11:27:18,74600,,
2015,3,11:27:19,74600,,
2015,3,11:27:20,74600,,
2015,3,11:27:21,74600,,
2015,3,11:27:22,74600,,
2015,3,11:27:23,74600,,
2015,3,11:27:24,74600,,
2015,3,11:27:25,74600,,
2015,3,11:27:26,74600,,
